id,name,host_is_superhost,created_at,updated_at
186851,Tina,1,25/02/2024 19:21,25/02/2024 19:21
1009105,Gisela,0,25/02/2024 19:21,25/02/2024 19:21
193038,Michaela,0,25/02/2024 19:21,25/02/2024 19:21
467895,Ursula,0,25/02/2024 19:21,25/02/2024 19:21
194957,Robert,0,25/02/2024 19:21,25/02/2024 19:21
1022663,Vanessa,1,25/02/2024 19:21,25/02/2024 19:21
183337,Violeta,1,25/02/2024 19:21,25/02/2024 19:21
965569,Coco,1,25/02/2024 19:21,25/02/2024 19:21
218479,Laura,1,25/02/2024 19:21,25/02/2024 19:21
1095682,Philipp,1,25/02/2024 19:21,25/02/2024 19:21
264072,Britta,0,25/02/2024 19:21,25/02/2024 19:21
156897,Helen,0,25/02/2024 19:21,25/02/2024 19:21
227954,Guidi,0,25/02/2024 19:21,25/02/2024 19:21
1142834,Detlef,0,25/02/2024 19:21,25/02/2024 19:21
1146238,Arzu & Tom,0,25/02/2024 19:21,25/02/2024 19:21
307513,Shoshik,1,25/02/2024 19:21,25/02/2024 19:21
312896,Stephan,0,25/02/2024 19:21,25/02/2024 19:21
1156924,Camilla,0,25/02/2024 19:21,25/02/2024 19:21
312373,Christian,0,25/02/2024 19:21,25/02/2024 19:21
315681,Mirjam,1,25/02/2024 19:21,25/02/2024 19:21
1196119,Hannes,1,25/02/2024 19:21,25/02/2024 19:21
163384,Alan & Kasia StayBearlin,0,25/02/2024 19:21,25/02/2024 19:21
1195177,Annika,0,25/02/2024 19:21,25/02/2024 19:21
261488,P. Charlotte,0,25/02/2024 19:21,25/02/2024 19:21
956350,Arne,1,25/02/2024 19:21,25/02/2024 19:21
437628,Oliver,0,25/02/2024 19:21,25/02/2024 19:21
1205340,Christine,1,25/02/2024 19:21,25/02/2024 19:21
249501,Elfie And  Paul,0,25/02/2024 19:21,25/02/2024 19:21
1219893,Katharina,1,25/02/2024 19:21,25/02/2024 19:21
425899,Bernd+Katja :-),0,25/02/2024 19:21,25/02/2024 19:21
456085,Louis,1,25/02/2024 19:21,25/02/2024 19:21
1224097,Bernhard,1,25/02/2024 19:21,25/02/2024 19:21
451311,Ruth,1,25/02/2024 19:21,25/02/2024 19:21
472567,Alexandra,0,25/02/2024 19:21,25/02/2024 19:21
1250154,Henrik,1,25/02/2024 19:21,25/02/2024 19:21
86173,Sebastian,1,25/02/2024 19:21,25/02/2024 19:21
584750,Axel,1,25/02/2024 19:21,25/02/2024 19:21
1274606,Mario,1,25/02/2024 19:21,25/02/2024 19:21
1275359,Henning,1,25/02/2024 19:21,25/02/2024 19:21
594164,Ralph&Maria,1,25/02/2024 19:21,25/02/2024 19:21
1275576,Thomas,0,25/02/2024 19:21,25/02/2024 19:21
1275795,Arne & Ute,1,25/02/2024 19:21,25/02/2024 19:21
1275846,Anna,1,25/02/2024 19:21,25/02/2024 19:21
632174,Stéphanie,1,25/02/2024 19:21,25/02/2024 19:21
662534,Bernd,0,25/02/2024 19:21,25/02/2024 19:21
1276585,Katharina,1,25/02/2024 19:21,25/02/2024 19:21
1289259,Martina,1,25/02/2024 19:21,25/02/2024 19:21
681637,Stefano,0,25/02/2024 19:21,25/02/2024 19:21
1289393,Hille,0,25/02/2024 19:21,25/02/2024 19:21
1310272,Jörg,1,25/02/2024 19:21,25/02/2024 19:21
1853661,Kirk,1,25/02/2024 19:21,25/02/2024 19:21
1311309,Ute,0,25/02/2024 19:21,25/02/2024 19:21
1312190,Davide,0,25/02/2024 19:21,25/02/2024 19:21
712073,Gerhard,0,25/02/2024 19:21,25/02/2024 19:21
1310866,Ashraf,1,25/02/2024 19:21,25/02/2024 19:21
1314462,Andreas Otto Rüdiger,0,25/02/2024 19:21,25/02/2024 19:21
728298,Ju,0,25/02/2024 19:21,25/02/2024 19:21
386940,Elisabeth,0,25/02/2024 19:21,25/02/2024 19:21
499725,Prasad,0,25/02/2024 19:21,25/02/2024 19:21
1318500,Renate,1,25/02/2024 19:21,25/02/2024 19:21
1023063,Raja Jooseppi,1,25/02/2024 19:21,25/02/2024 19:21
775103,Verena,0,25/02/2024 19:21,25/02/2024 19:21
779623,Stefano,1,25/02/2024 19:21,25/02/2024 19:21
779213,Jutta,0,25/02/2024 19:21,25/02/2024 19:21
1328326,Wolfram,1,25/02/2024 19:21,25/02/2024 19:21
1171000,Bernardo,0,25/02/2024 19:21,25/02/2024 19:21
784423,Patrick,0,25/02/2024 19:21,25/02/2024 19:21
803717,Dirk,0,25/02/2024 19:21,25/02/2024 19:21
1343263,Agnieszka,0,25/02/2024 19:21,25/02/2024 19:21
1344455,Wolfram,1,25/02/2024 19:21,25/02/2024 19:21
1345035,Sylvia,1,25/02/2024 19:21,25/02/2024 19:21
826546,Wolfgang,0,25/02/2024 19:21,25/02/2024 19:21
1345036,H.Christian,0,25/02/2024 19:21,25/02/2024 19:21
1354122,Heike & Heinrich,1,25/02/2024 19:21,25/02/2024 19:21
833209,Julija,1,25/02/2024 19:21,25/02/2024 19:21
833995,Ilona,1,25/02/2024 19:21,25/02/2024 19:21
1303212,David,1,25/02/2024 19:21,25/02/2024 19:21
843326,Nino,1,25/02/2024 19:21,25/02/2024 19:21
857327,Alke,1,25/02/2024 19:21,25/02/2024 19:21
864399,Samuel,0,25/02/2024 19:21,25/02/2024 19:21
1391772,Sunflower Hostel,0,25/02/2024 19:21,25/02/2024 19:21
876754,Alexander,0,25/02/2024 19:21,25/02/2024 19:21
955509,Karsten,0,25/02/2024 19:21,25/02/2024 19:21
2480274,Marfisa,1,25/02/2024 19:21,25/02/2024 19:21
1395425,Hansjörg,1,25/02/2024 19:21,25/02/2024 19:21
1382226,Patrick,1,25/02/2024 19:21,25/02/2024 19:21
1404760,Frank,0,25/02/2024 19:21,25/02/2024 19:21
2494425,Manuel,1,25/02/2024 19:21,25/02/2024 19:21
1409188,Peter,0,25/02/2024 19:21,25/02/2024 19:21
