id,name,host_id,room_type,price,minimum_nights,listing_url,created_at,updated_at
27657259,Rental unit in Berlin · ★4.67 · 1 bedroom · 4 beds · 1 bath,208721377,Entire home/apt,283,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27657345,Rental unit in Berlin · ★4.50 · 2 bedrooms · 5 beds · 2 baths,167881332,Entire home/apt,240,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28044368,Rental unit in Berlin · ★4.94 · 1 bedroom · 2 beds · 1 bath,1802005,Entire home/apt,100,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27667172,Rental unit in Berlin · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,16914022,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27674562,Condo in Berlin · ★5.0 · 2 bedrooms · 2 beds · 1 bath,6650021,Entire home/apt,129,30,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28061799,Rental unit in Berlin · ★3.75 · Studio · 1 bed · 1 shared bath,163404075,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27678463,Home in Berlin · ★4.95 · 1 bedroom · 1 bed · 1 private bath,5811388,Private room,55,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28064699,Rental unit in Berlin · ★4.70 · 2 bedrooms · 1 bed · 1 shared bath,202779274,Private room,48,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27686631,Rental unit in Berlin · 1 bedroom · 1 bed · 1 shared bath,27493890,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27695919,Rental unit in Berlin · ★4.86 · 2 bedrooms · 4 beds · 1 bath,46621075,Entire home/apt,196,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28068656,Rental unit in Berlin · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,28760296,Private room,59,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28069928,Rental unit in Berlin · ★4.90 · 1 bedroom · 2 beds · 1 shared bath,46659004,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27699236,Rental unit in Berlin · 2 bedrooms · 1 bed · 1 bath,34106903,Entire home/apt,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28079196,Rental unit in Berlin · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,101026863,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
